society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
dlf pink town house,1.9,sector 24,3786.0,5018.0,Built Up area: 5018 (466.19 sq.m.),10,9,3+,3,North,Relatively New,house,,5018.0,,0,0,0,0,1,1,29
corona optus,1.4,sector 37c,7035.0,1990.05,Super Built up area 1990(184.88 sq.m.)Built Up area: 1890 sq.ft. (175.59 sq.m.)Carpet area: 1790 sq.ft. (166.3 sq.m.),3,3,3+,4,South,Relatively New,flat,1990.0,1890.0,1790.0,0,1,0,0,0,0,149
bptp astaire gardens,1.18,sector 70a,8137.0,1450.0,Carpet area: 1450 (134.71 sq.m.),3,3,3+,2,North-East,Relatively New,house,,,1450.0,0,0,0,0,1,2,153
ats tourmaline,1.75,sector 109,8139.0,2150.14,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.),3,4,3+,7,North-East,Relatively New,flat,2150.0,1797.0,,0,1,0,0,0,0,165
millenium bajrang society,2.5,sector 43,9433.0,2650.27,Super Built up area 2650(246.19 sq.m.),4,4,3+,2,South,Relatively New,flat,2650.0,,,0,0,0,0,0,2,94
independent,0.65,sector 4,92857.0,70.0,Plot area 70(6.5 sq.m.),1,1,1,1,South-East,Moderately Old,house,,70.0,,0,0,0,0,1,0,21
m3m woodshire,1.4,sector 107,5929.0,2361.28,Super Built up area 2361(219.34 sq.m.),3,4,3+,6,North-East,Relatively New,flat,2361.0,,,0,1,0,0,0,0,117
shapoorji pallonji joyville gurugram,1.3,sector 102,17691.0,734.84,Super Built up area 1215(112.88 sq.m.)Built Up area: 1009 sq.ft. (93.74 sq.m.)Carpet area: 734.8 sq.ft. (68.27 sq.m.),2,2,3,0,East,Relatively New,flat,1215.0,1009.0,734.8,0,0,1,0,0,0,125
ansal sushant lok plots,3.3,sector 43,26570.0,1242.0,Plot area 138(115.39 sq.m.),1,1,0,,,Under Construction,house,,1242.0,,0,0,0,0,0,0,0
independent,0.49,sector 8,11250.0,436.0,Plot area 360(33.45 sq.m.),6,3,2,3,East,Moderately Old,house,,360.0,,0,0,0,0,0,0,8
tulip violet,1.29,sector 69,8227.0,1568.01,Super Built up area 1568(145.67 sq.m.),3,3,1,12,North-East,Relatively New,flat,1568.0,,,0,0,0,1,0,2,86
smart world gems,1.2,sector 89,8432.0,1423.15,Carpet area: 1423 (132.2 sq.m.),3,3,2,2,North-East,New Property,flat,,,1423.0,0,0,0,0,0,0,44
,0.6,sector 78,3692.0,1625.14,Built Up area: 1625 (150.97 sq.m.),2,2,0,,,Under Construction,flat,,1625.0,,0,0,0,0,0,0,0
emaar palm gardens,1.4,sector 83,9675.0,1447.03,Super Built up area 1720(159.79 sq.m.)Carpet area: 1447 sq.ft. (134.43 sq.m.),3,3,3,11,North,Relatively New,flat,1720.0,,1447.0,0,1,0,0,0,1,58
pioneer araya,10.75,sector 62,19500.0,5512.82,Super Built up area 5514(512.27 sq.m.),5,7,3,10,North-East,Relatively New,flat,5514.0,,,0,1,0,0,0,2,153
independent,8.25,sector 27,45833.0,1800.0,Plot area 210(175.59 sq.m.)Built Up area: 205 sq.yards (171.41 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),12,12,3+,4,East,New Property,house,,205.0,200.0,0,1,0,1,0,2,40
shapoorji pallonji joyville gurugram,2.12,sector 102,16960.0,1250.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,9,,Relatively New,flat,,1852.0,1250.0,0,0,0,0,0,0,72
unitech espace,9.8,sector 50,30247.0,3240.0,Plot area 360(301.01 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 280 sq.yards (234.12 sq.m.),4,4,3,2,North-West,Moderately Old,house,,300.0,280.0,0,1,0,0,0,0,22
independent,9.0,sector 41,27778.0,3240.0,Plot area 360(301.01 sq.m.),8,5,3+,3,,Old Property,house,,3240.0,,0,1,1,1,0,2,26
dlf city plots phase 2,6.5,sector 25,36111.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3+,3,East,Old Property,house,,1800.0,,1,1,1,1,0,2,134
shapoorji pallonji joyville gurugram,1.26,sector 102,10370.0,1215.04,Super Built up area 1215(112.88 sq.m.),2,2,3,7,East,Relatively New,flat,1215.0,,,0,0,0,0,0,2,49
experion the heartsong,3.0,sector 108,18392.0,1631.14,Super Built up area 2779(258.18 sq.m.)Built Up area: 2204.25 sq.ft. (204.78 sq.m.)Carpet area: 1631.07 sq.ft. (151.53 sq.m.),4,5,3+,2,South-West,Relatively New,flat,2779.0,2204.25,1631.07,0,1,0,0,0,1,149
m3m woodshire,1.29,sector 107,8835.0,1460.1,Super Built up area 1943(180.51 sq.m.)Carpet area: 1460 sq.ft. (135.64 sq.m.),3,3,3+,1,East,Relatively New,flat,1943.0,,1460.0,0,0,0,1,0,2,174
vipul tatvam villa,8.5,sector 48,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,4,1,,,Relatively New,house,,3240.0,,0,0,0,0,0,0,21
m3m sierra 68,1.25,sector 68,10245.0,1220.11,Super Built up area 1220(113.34 sq.m.)Carpet area: 694 sq.ft. (64.47 sq.m.),2,2,3,4,,New Property,flat,1220.0,,694.0,0,0,0,0,0,0,44
sare green parc,0.85,sector 92,6741.0,1260.94,Built Up area: 1261 (117.15 sq.m.),3,2,2,14,,Undefined,flat,,1261.0,,0,0,0,0,0,0,0
the lions cghs,2.0,sector 56,8333.0,2400.1,Super Built up area 2400(222.97 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,4,3,8,West,Relatively New,flat,2400.0,,2100.0,0,0,0,0,1,2,49
nirvana country,10.0,sector 50,14285.0,7000.0,Built Up area: 7000 (650.32 sq.m.),5,7,2,4,East,Moderately Old,house,,7000.0,,0,1,0,0,0,1,0
ireo the corridors,1.85,sector 67a,9531.0,1941.03,Built Up area: 1941 (180.32 sq.m.),3,4,3,4,East,New Property,flat,,1941.0,,1,0,1,0,0,2,150
independent,3.35,sector 43,26973.0,1242.0,Plot area 138(115.39 sq.m.),1,1,0,1,East,Old Property,house,,1242.0,,0,0,0,0,0,0,9
breez global heights,0.4,sohna road,6694.0,597.55,Super Built up area 950(88.26 sq.m.)Carpet area: 597.53 sq.ft. (55.51 sq.m.),2,2,2,7,,Relatively New,flat,950.0,,597.53,0,0,0,0,0,0,57
m3m soulitude,1.33,sector 89,16985.0,783.04,Built Up area: 1423 (132.2 sq.m.)Carpet area: 783 sq.ft. (72.74 sq.m.),3,3,3,4,North-West,Under Construction,flat,,1423.0,783.0,1,0,0,0,0,0,125
greenopolis,0.8,sector 89,6168.0,1297.02,Carpet area: 1297 (120.5 sq.m.),2,2,2,6,South,Under Construction,flat,,,1297.0,0,0,0,0,0,0,44
bestech altura,1.72,sector 79,8400.0,2047.62,Built Up area: 2050 (190.45 sq.m.),3,4,3,9,East,New Property,flat,,2050.0,,0,0,0,0,0,0,49
whiteland blissville,1.92,sector 76,11500.0,1669.57,Built Up area: 1672 (155.33 sq.m.)Carpet area: 940 sq.ft. (87.33 sq.m.),3,3,2,2,,Undefined,flat,,1672.0,940.0,0,0,0,0,0,0,61
bestech park view spa next,2.72,sector 67,11574.0,2350.1,Super Built up area 2350(218.32 sq.m.)Built Up area: 2250 sq.ft. (209.03 sq.m.)Carpet area: 2001 sq.ft. (185.9 sq.m.),4,4,3+,0,South-West,Relatively New,flat,2350.0,2250.0,2001.0,0,1,0,1,0,2,128
emaar mgf the palm drive,3.5,sector 66,15909.0,2200.01,Super Built up area 2200(204.39 sq.m.)Built Up area: 2125 sq.ft. (197.42 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3,7,North-East,Moderately Old,flat,2200.0,2125.0,2000.0,0,1,1,0,0,2,149
ireo skyon,2.05,sector 60,15185.0,1350.02,Super Built up area 1524(141.58 sq.m.)Built Up area: 1520 sq.ft. (141.21 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2,3,2,2,North-East,Relatively New,flat,1524.0,1520.0,1350.0,0,0,1,0,0,2,174
emaar mgf emerald floors premier,2.35,sector 65,14242.0,1650.05,Built Up area: 1650 (153.29 sq.m.),3,3,2,4,East,Relatively New,flat,,1650.0,,1,1,0,0,0,0,165
bestech park view residency,1.26,sector 2,8051.0,1565.02,Super Built up area 1565(145.39 sq.m.),2,2,3,7,South-East,Moderately Old,flat,1565.0,,,1,0,0,0,0,0,84
shree vardhman victoria,1.5,sector 70,7692.0,1950.08,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,7,South,Relatively New,flat,1950.0,,1161.0,0,1,0,0,0,2,174
green court,0.5,sector 90,8333.0,600.02,Super Built up area 700(65.03 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,1,8,,New Property,flat,700.0,,600.0,0,0,0,0,0,0,42
imperia aashiyara,0.4,sector 37c,5882.0,680.04,Carpet area: 680 (63.17 sq.m.),2,2,3,3,,Under Construction,flat,,,680.0,0,0,0,0,0,0,126
puri diplomatic greens,2.25,sector 111,13235.0,1700.04,Super Built up area 1700(157.94 sq.m.),3,3,2,12,North-East,Relatively New,flat,1700.0,,,0,0,0,0,0,0,101
imperia the esfera,0.99,sector 37c,5454.0,1815.18,Super Built up area 1815(168.62 sq.m.)Carpet area: 1510 sq.ft. (140.28 sq.m.),3,4,3,9,North-East,Relatively New,flat,1815.0,,1510.0,0,1,0,0,0,0,49
independent,1.15,sector 2,19360.0,594.0,Plot area 66(55.18 sq.m.),3,3,2,2,South-East,Old Property,house,,594.0,,0,0,0,0,0,2,32
signature global solera,0.28,sector 107,5725.0,489.08,Carpet area: 489 (45.43 sq.m.),2,2,2,6,West,Relatively New,flat,,,489.0,0,0,0,0,0,0,45
the khushboo cooperative housing society ltd,0.88,sector 9a,4888.0,1800.33,Super Built up area 1800(167.23 sq.m.)Carpet area: 1123 sq.ft. (104.33 sq.m.),3,3,2,2,North-West,Old Property,flat,1800.0,,1123.0,0,0,0,0,0,2,31
zara aavaas,0.2,sector 104,6644.0,301.02,Carpet area: 301 (27.96 sq.m.),1,2,2,3,,New Property,flat,,,301.0,0,0,0,0,0,0,67
m3m capital,1.83,sector 113,13969.0,1310.04,Built Up area: 1310 (121.7 sq.m.),2,2,0,7,,Undefined,flat,,1310.0,,0,0,0,0,0,0,68
independent,3.2,sector 24,59259.0,540.0,Plot area 60(50.17 sq.m.),14,14,3+,6,West,Relatively New,house,,540.0,,0,0,0,0,0,1,15
dlf the skycourt,1.35,sector 86,6998.0,1929.12,Super Built up area 1929(179.21 sq.m.),3,3,1,9,North-West,Relatively New,flat,1929.0,,,0,0,0,0,0,0,119
independent,5.6,sector 2,17284.0,3240.0,Plot area 360(301.01 sq.m.),8,6,3+,,South-West,Moderately Old,house,,3240.0,,1,1,1,1,0,0,0
independent,0.9,sector 11,10000.0,900.0,Plot area 900(83.61 sq.m.),7,4,3+,4,,Moderately Old,house,,900.0,,0,0,0,0,0,0,7
essel towers,2.2,sector 14,12500.0,1760.0,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3,,Undefined,flat,,,1760.0,0,0,0,0,0,0,0
ambience creacions,2.0,sector 22,14492.0,1380.07,Carpet area: 1380 (128.21 sq.m.),2,2,2,9,East,Relatively New,flat,,,1380.0,0,0,0,0,0,0,49
ramsons kshitij,0.33,sector 95,3911.0,843.77,Super Built up area 767(71.26 sq.m.),2,2,1,14,South,New Property,flat,767.0,,,0,0,0,0,1,2,79
tarc maceo,0.87,sector 91,6641.0,1310.04,Super Built up area 1310(121.7 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,9,North-West,Relatively New,flat,1310.0,,1000.0,0,0,1,0,0,0,78
sushant lok 1 builder floors,13.0,sector 43,48148.0,2700.0,Plot area 300(250.84 sq.m.),3,3,3+,4,North,New Property,house,,2700.0,,0,0,0,1,0,2,7
tulip violet,1.51,sector 69,9569.0,1578.01,Super Built up area 1578(146.6 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,3,2,0,West,Relatively New,flat,1578.0,,1100.0,0,0,0,1,0,1,165
sare crescent parc royal greens phase 1,0.75,sector 92,4325.0,1734.1,Built Up area: 1734 (161.09 sq.m.),4,4,3+,3,East,Relatively New,flat,,1734.0,,0,0,0,0,0,0,93
ramprastha skyz,1.1,sector 37d,6376.0,1725.22,Super Built up area 1725(160.26 sq.m.),3,3,3+,7,East,Under Construction,flat,1725.0,,,0,0,0,0,0,0,109
mvn athens,0.27,sohna road,5901.0,457.55,Carpet area: 457.52 (42.5 sq.m.),2,2,1,0,,Relatively New,flat,,,457.46574999999996,0,0,0,0,0,2,69
supertech araville,0.71,sector 79,6061.0,1171.42,Super Built up area 1295(120.31 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),2,2,3+,17,North,New Property,flat,1295.0,,1250.0,0,0,0,0,1,0,53
eldeco accolade,0.72,sohna road,5735.0,1255.45,Carpet area: 1264 (117.43 sq.m.),2,2,3,8,West,Relatively New,flat,,,1264.0,0,0,0,0,0,0,153
unitech south city,5.88,sector 50,27222.0,2160.0,Plot area 240(200.67 sq.m.),9,9,3+,3,East,Relatively New,house,,2160.0,,1,1,0,1,1,1,128
indiabulls enigma,3.4,sector 110,10000.0,3400.0,Super Built up area 3400(315.87 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,5,3,10,South-West,Relatively New,flat,3400.0,3000.0,2800.0,0,1,0,0,0,0,152
shree vardhman victoria,1.65,sector 70,8461.0,1950.12,Super Built up area 1950(181.16 sq.m.),3,4,3,12,North,Relatively New,flat,1950.0,,,0,1,1,0,0,0,56
eldeco mansionz,4.75,sector 48,20299.0,2340.0,Plot area 260(217.39 sq.m.),7,7,3,2,North-East,Moderately Old,house,,2340.0,,1,0,0,0,0,2,33
hsiidc sidco aravali,0.81,manesar,3129.0,2588.69,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1877 sq.ft. (174.38 sq.m.),3,3,3+,2,South-West,Moderately Old,flat,2588.0,1900.0,1877.0,0,1,0,0,0,0,74
puri diplomatic greens,2.58,sector 111,11727.0,2200.05,Super Built up area 2200(204.39 sq.m.),3,4,2,10,North,Moderately Old,flat,2200.0,,,0,1,0,0,0,0,86
vatika lifestyle homes,1.05,sector 83,5982.0,1755.27,Super Built up area 1755(163.04 sq.m.),3,3,2,14,South-West,Relatively New,flat,1755.0,,,1,1,1,1,0,2,174
umang monsoon breeze,1.05,sector 78,5666.0,1853.16,Built Up area: 1853 (172.15 sq.m.)Carpet area: 1390 sq.ft. (129.14 sq.m.),3,3,3,6,North,Moderately Old,flat,,1853.0,1390.0,0,0,0,0,0,0,0
independent,14.0,sector 43,39886.0,3510.0,Plot area 390(326.09 sq.m.),9,9,3+,4,North,Moderately Old,house,,3510.0,,0,1,0,0,0,0,7
ashiana anmol,0.88,sohna road,11125.0,791.01,Super Built up area 1275(118.45 sq.m.)Carpet area: 791 sq.ft. (73.49 sq.m.),2,2,2,13,East,Relatively New,flat,1275.0,,791.0,0,0,0,0,0,1,127
paras irene,1.3,sector 70a,9219.0,1410.13,Super Built up area 1420(131.92 sq.m.)Carpet area: 1410 sq.ft. (130.99 sq.m.),2,2,3,19,,Moderately Old,flat,1420.0,,1410.0,0,0,0,0,0,2,49
bptp freedom park life,2.5,sector 57,11111.0,2250.02,Super Built up area 2250(209.03 sq.m.),3,3,3,9,,Moderately Old,flat,2250.0,,,0,0,0,0,0,0,55
capital residences 360,1.64,sector 70a,8299.0,1976.14,Super Built up area 1976(183.58 sq.m.)Built Up area: 1950 sq.ft. (181.16 sq.m.)Carpet area: 1642 sq.ft. (152.55 sq.m.),3,3,3+,4,North-East,New Property,flat,1976.0,1950.0,1642.0,0,1,0,0,0,0,144
shapoorji pallonji joyville gurugram,2.03,sector 102,12000.0,1691.67,Super Built up area 1692(157.19 sq.m.)Carpet area: 1027.68 sq.ft. (95.47 sq.m.),3,3,2,1,,New Property,flat,1692.0,,1027.68,0,0,0,0,0,0,67
tulip violet,3.05,sector 69,9664.0,3156.04,Super Built up area 3156(293.2 sq.m.),4,5,3+,14,South-West,Relatively New,flat,3156.0,,,0,1,0,0,1,0,49
shree vardhman flora,0.86,sector 90,6254.0,1375.12,Super Built up area 1950(181.16 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1375 sq.ft. (127.74 sq.m.),3,4,3,0,North,Relatively New,flat,1950.0,1525.0,1375.0,0,1,0,0,0,2,84
godrej nature plus,1.4,sector 33,15124.0,925.68,Super Built up area 145Carpet area: 86 sq.m.,3,2,3+,20,,New Property,flat,145.0,,86.0,0,0,0,0,0,0,70
emaar mgf palm hills,1.25,sector 77,8620.0,1450.12,Carpet area: 1450 (134.71 sq.m.),3,4,3,1,West,Relatively New,flat,,,1450.0,0,1,0,0,0,2,104
sobha smriti apartments,0.5,sector 56,8333.0,600.02,Carpet area: 600 (55.74 sq.m.),1,1,2,3,,Undefined,flat,,,600.0,0,0,0,0,0,0,0
vatika city,1.79,sector 49,12785.0,1400.08,Carpet area: 1400 (130.06 sq.m.),3,3,3,9,,Old Property,flat,,,1400.0,0,1,0,0,0,0,38
imperia the esfera,0.87,sector 37c,5513.0,1578.09,Super Built up area 1578(146.6 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1110 sq.ft. (103.12 sq.m.),2,3,3+,5,North-West,Relatively New,flat,1578.0,1300.0,1110.0,1,0,0,0,0,0,109
paras dews,1.5,sector 106,6369.0,2355.16,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,6,3+,11,North-West,Relatively New,flat,2355.0,1535.0,1403.0,0,1,0,0,0,0,174
unitech fresco,1.88,sector 50,10479.0,1794.06,Super Built up area 1794(166.67 sq.m.)Built Up area: 1790 sq.ft. (166.3 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,14,North,Moderately Old,flat,1794.0,1790.0,1450.0,0,0,0,0,1,2,174
breez global heights,0.28,sohna road,7142.0,392.05,Carpet area: 399 (37.07 sq.m.),1,1,1,4,,New Property,flat,,,399.0,0,0,0,0,0,1,26
paras dews,1.15,sector 106,6534.0,1760.02,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,12,East,Relatively New,flat,1760.0,1186.0,1130.0,1,1,0,0,0,2,174
ireo victory valley,3.49,sector 67,13000.0,2684.62,Carpet area: 2452 (227.8 sq.m.),3,3,3,19,South-East,Relatively New,flat,,,2452.0,0,1,0,0,0,0,103
ats triumph,1.73,sector 104,7554.0,2290.18,Super Built up area 2290(212.75 sq.m.),3,4,3+,15,North-East,Relatively New,flat,2290.0,,,0,1,0,0,0,0,159
conscient habitat,0.35,sector 99a,6422.0,545.0,Carpet area: 545 (50.63 sq.m.),2,2,1,3,North-East,Relatively New,flat,,,545.0,0,0,0,0,0,0,62
godrej nature plus,1.27,sector 33,9182.0,1383.14,Super Built up area 1383(128.48 sq.m.),2,2,3+,9,West,Under Construction,flat,1383.0,,,0,0,0,0,0,0,38
ansal sushant residency,4.6,sector 57,17037.0,2700.0,Plot area 300(250.84 sq.m.),6,6,3,3,East,Old Property,house,,2700.0,,1,1,1,1,0,1,102
kw royal court,2.0,sector 39,6250.0,3200.0,Carpet area: 3200 (297.29 sq.m.),5,4,3,9,East,Old Property,flat,,,3200.0,0,1,0,0,0,1,49
ss residency,0.53,sector 12,4818.0,1100.04,Super Built up area 1100(102.19 sq.m.),3,3,2,2,,Relatively New,flat,1100.0,,,0,0,0,0,0,2,14
godrej oasis,1.38,sector 88a,6679.0,2066.18,Carpet area: 2066 (191.94 sq.m.),3,3,3+,7,North,Relatively New,flat,,,2066.0,0,1,0,0,0,0,72
ats triumph,1.85,sector 104,8078.0,2290.17,Super Built up area 2290(212.75 sq.m.),3,4,3+,14,East,Relatively New,flat,2290.0,,,1,1,1,1,0,0,117
independent,2.0,manesar,14954.0,1337.0,Plot area 1337.4(124.25 sq.m.),3,1,0,3,North,Moderately Old,house,,1337.4,,0,0,0,0,0,0,16
ss the leaf,2.0,sector 85,11869.0,1685.06,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),3,4,3,5,West,Relatively New,flat,2408.0,,1685.0,0,1,0,0,0,0,156
orris carnation residency,0.88,sector 85,5952.0,1478.49,Super Built up area 1485(137.96 sq.m.),3,3,1,1,South,Relatively New,flat,1485.0,,,0,0,0,0,0,0,65
dlf the ultima,2.4,sector 81,11257.0,2132.01,Super Built up area 2132(198.07 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,10,North-West,Relatively New,flat,2132.0,1800.0,1400.0,0,1,0,0,0,1,174
ansal housing highland park,1.25,sector 103,6443.0,1940.09,Super Built up area 1940(180.23 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3,3,3+,2,North-East,New Property,flat,1940.0,,1056.0,0,0,0,1,0,0,105
independent,1.5,sohna road,14245.0,1053.0,Plot area 117(97.83 sq.m.),2,3,2,1,North,New Property,house,,1053.0,,1,0,0,1,0,2,69
m3m skycity,3.0,sector 65,16411.0,1828.04,Super Built up area 1828(169.83 sq.m.),3,3,3,17,East,Under Construction,flat,1828.0,,,0,0,0,0,0,0,99
raheja atharva,0.79,sector 109,7931.0,996.09,Super Built up area 1457(135.36 sq.m.)Carpet area: 996 sq.ft. (92.53 sq.m.),3,2,2,3,,Relatively New,flat,1457.0,,996.0,0,0,0,0,0,2,44
dlf new town heights,1.15,sector 90,5958.0,1930.18,Super Built up area 1930(179.3 sq.m.),3,3,3+,9,North-West,Relatively New,flat,1930.0,,,0,1,0,1,0,0,88
ss almeria,1.48,sector 84,7400.0,2000.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1294 sq.ft. (120.22 sq.m.),3,3,2,1,South-West,New Property,flat,2000.0,,1294.0,0,1,1,0,0,2,139
ireo victory valley,8.0,sector 67,22222.0,3600.0,Plot area 400(334.45 sq.m.),6,7,3+,51,North-East,Moderately Old,house,,3600.0,,1,1,0,1,0,2,49
ireo victory valley,2.95,sector 67,12235.0,2411.12,Super Built up area 2411(223.99 sq.m.)Carpet area: 1906 sq.ft. (177.07 sq.m.),3,3,3,10,North-West,Relatively New,flat,2411.0,,1906.0,0,1,0,0,0,2,174
shree balaji appartment,0.4,sector 33,5000.0,800.0,Super Built up area 800(74.32 sq.m.),2,2,2,1,,Relatively New,flat,800.0,,,0,0,0,0,0,1,0
emaar palm gardens,1.3,sector 83,11868.0,1095.38,Super Built up area 1720(159.79 sq.m.)Carpet area: 1095.3 sq.ft. (101.76 sq.m.),3,3,3,16,North,Relatively New,flat,1720.0,,1095.3,0,1,0,0,0,2,174
aipl zen residences,1.25,sector 70a,9904.0,1262.12,Carpet area: 1262 (117.24 sq.m.),2,2,2,19,,New Property,flat,,,1262.0,0,0,0,0,0,0,42
corona optus,1.27,sector 37c,7203.0,1763.15,Super Built up area 1763(163.79 sq.m.)Carpet area: 1410 sq.ft. (130.99 sq.m.),3,3,3,2,South,Relatively New,flat,1763.0,,1410.0,1,0,0,0,1,0,49
meditech apartment,2.45,sector 56,8166.0,3000.24,Super Built up area 3000(278.71 sq.m.)Built Up area: 2900 sq.ft. (269.42 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,4,3+,1,West,Relatively New,flat,3000.0,2900.0,2800.0,0,0,0,0,1,2,118
sagar apartment,1.45,sector 56,7250.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3+,7,South,Old Property,flat,2000.0,1900.0,1800.0,1,1,0,1,1,0,166
bptp park generations,1.5,sector 37d,9868.0,1520.06,Super Built up area 1520(141.21 sq.m.),3,2,3+,17,North-East,Relatively New,flat,1520.0,,,0,0,0,0,0,0,42
uppal southend,6.75,sector 49,31915.0,2115.0,Plot area 235(196.49 sq.m.),12,12,3+,3,West,Moderately Old,house,,2115.0,,0,0,0,0,1,0,49
mapsko mount ville,1.28,sector 79,8557.0,1495.85,Super Built up area 1490(138.43 sq.m.)Carpet area: 1063.91 sq.ft. (98.84 sq.m.),3,3,3,16,South,Relatively New,flat,1490.0,,1063.91,1,0,0,0,0,2,128
raheja atharva,2.2,sector 109,9490.0,2318.23,Carpet area: 2318 (215.35 sq.m.),3,3,2,7,North,Moderately Old,flat,,,2318.0,0,1,0,0,0,2,111
shapoorji pallonji joyville gurugram,1.9,sector 102,10259.0,1852.03,Super Built up area 1852(172.06 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,15,North-East,New Property,flat,1852.0,1700.0,1450.0,0,0,0,1,0,0,174
sushant lok 1 builder floors,2.45,sector 43,7756.0,3159.0,Plot area 60(50.17 sq.m.)Built Up area: 540 sq.yards (451.51 sq.m.)Carpet area: 351 sq.yards (293.48 sq.m.),4,4,3+,3,West,Moderately Old,house,,540.0,351.0,1,1,0,1,1,1,123
shree vardhman flora,1.25,sector 90,4854.0,2575.2,Carpet area: 2575 (239.23 sq.m.),4,4,3,10,East,Relatively New,flat,,,2575.0,1,0,0,1,0,0,174
puri emerald bay,1.5,sector 104,9678.0,1549.91,Super Built up area 1550(144 sq.m.),2,2,2,7,,Under Construction,flat,1550.0,,,0,0,0,0,1,0,43
godrej summit,1.16,sector 104,6387.0,1816.19,Carpet area: 1816 (168.71 sq.m.),3,4,3+,8,East,Relatively New,flat,,,1816.0,0,1,0,0,0,2,96
microtek greenburg,1.25,sector 86,8445.0,1480.17,Super Built up area 1480(137.5 sq.m.),3,4,3,0,South-West,Relatively New,flat,1480.0,,,1,0,0,0,0,0,49
independent,7.6,sector 25,38760.0,1961.0,Plot area 215(179.77 sq.m.),9,9,3,4,East,Relatively New,house,,1935.0,,1,0,1,1,0,2,84
ild grand,0.66,sector 37c,5038.0,1310.04,Built Up area: 1310 (121.7 sq.m.),2,2,3+,14,,Undefined,flat,,1310.0,,0,0,0,0,0,0,60
aditya apartment,1.0,manesar,4033.0,2479.54,Built Up area: 2480 (230.4 sq.m.),3,4,0,3,,New Property,flat,,2480.0,,0,0,0,0,0,0,0
shree vardhman victoria,1.23,sector 70,9111.0,1350.02,Super Built up area 1350(125.42 sq.m.),2,2,3,1,North-East,Relatively New,flat,1350.0,,,1,0,0,0,0,0,43
eldeco accolade,0.95,sohna road,6542.0,1452.16,Super Built up area 1452(134.9 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,6,East,New Property,flat,1452.0,,849.0,1,0,0,0,0,2,56
independent,3.5,sector 38,24306.0,1440.0,Carpet area: 160 (133.78 sq.m.),3,3,2,1,East,Relatively New,house,,,160.0,0,0,0,0,0,0,0
umang monsoon breeze,0.75,sector 78,6053.0,1239.06,Built Up area: 1239 (115.11 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,1,5,East,Undefined,flat,,1239.0,1100.0,0,0,0,0,0,0,0
tulip leaf,2.06,sector 69,11386.0,1809.24,Super Built up area 1812(168.34 sq.m.),3,3,3,16,South-West,Relatively New,flat,1812.0,,,0,0,0,0,0,0,49
