society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
mapsko mount ville,1.28,sector 79,8557.0,1495.85,Super Built up area 1490(138.43 sq.m.)Carpet area: 1063.91 sq.ft. (98.84 sq.m.),3,3,3,16.0,South,Relatively New,flat,1490.0,,1063.91,1,0,0,0,0,2,128,498.6166666666666
raheja atharva,2.2,sector 109,9490.0,2318.23,Carpet area: 2318 (215.35 sq.m.),3,3,2,7.0,North,Moderately Old,flat,,,2318.0,0,1,0,0,0,2,111,772.7433333333333
shapoorji pallonji joyville gurugram,1.9,sector 102,10259.0,1852.03,Super Built up area 1852(172.06 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,15.0,North-East,New Property,flat,1852.0,1700.0,1450.0,0,0,0,1,0,0,174,617.3433333333334
sushant lok 1 builder floors,2.45,sector 43,7756.0,3159.0,Plot area 60(50.17 sq.m.)Built Up area: 540 sq.yards (451.51 sq.m.)Carpet area: 351 sq.yards (293.48 sq.m.),4,4,3+,3.0,West,Moderately Old,house,,540.0,351.0,1,1,0,1,1,1,123,789.75
shree vardhman flora,1.25,sector 90,4854.0,2575.2,Carpet area: 2575 (239.23 sq.m.),4,4,3,10.0,East,Relatively New,flat,,,2575.0,1,0,0,1,0,0,174,643.8
puri emerald bay,1.5,sector 104,9678.0,1549.91,Super Built up area 1550(144 sq.m.),2,2,2,7.0,,Under Construction,flat,1550.0,,,0,0,0,0,1,0,43,774.955
godrej summit,1.16,sector 104,6387.0,1816.19,Carpet area: 1816 (168.71 sq.m.),3,4,3+,8.0,East,Relatively New,flat,,,1816.0,0,1,0,0,0,2,96,605.3966666666666
microtek greenburg,1.25,sector 86,8445.0,1480.17,Super Built up area 1480(137.5 sq.m.),3,4,3,0.0,South-West,Relatively New,flat,1480.0,,,1,0,0,0,0,0,49,493.39000000000004
independent,7.6,sector 25,38756.0,1961.0,Plot area 215(179.77 sq.m.),2,9,3,4.0,East,Relatively New,house,,1935.0,,1,0,1,1,0,2,84,980.5
aditya apartment,1.0,manesar,4033.0,2479.54,Built Up area: 2480 (230.4 sq.m.),3,4,0,3.0,,New Property,flat,,2480.0,,0,0,0,0,0,0,0,826.5133333333333
shree vardhman victoria,1.23,sector 70,9111.0,1350.02,Super Built up area 1350(125.42 sq.m.),2,2,3,1.0,North-East,Relatively New,flat,1350.0,,,1,0,0,0,0,0,43,675.01
eldeco accolade,0.95,sohna road,6542.0,1452.16,Super Built up area 1452(134.9 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,6.0,East,New Property,flat,1452.0,,849.0,1,0,0,0,0,2,56,726.08
independent,3.5,sector 38,24306.0,1440.0,Carpet area: 160 (133.78 sq.m.),3,3,2,1.0,East,Relatively New,house,,,160.0,0,0,0,0,0,0,0,480.0
tulip leaf,2.06,sector 69,11386.0,1809.24,Super Built up area 1812(168.34 sq.m.),3,3,3,16.0,South-West,Relatively New,flat,1812.0,,,0,0,0,0,0,0,49,603.08
bptp astaire gardens,1.25,sector 70a,8771.0,1425.15,Super Built up area 1425(132.39 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,2,1.0,South-East,Relatively New,flat,1425.0,1300.0,1200.0,0,0,0,0,1,0,49,475.05
tata primanti,3.19,sector 72,12152.0,2625.08,Super Built up area 2625(243.87 sq.m.),4,5,3+,20.0,North,Relatively New,flat,2625.0,,,0,1,0,0,0,2,159,656.27
cghs airport apartment,1.65,sector 47,7857.0,2100.04,Super Built up area 2100(195.1 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),3,3,3,1.0,North-East,Old Property,flat,2100.0,,1720.0,0,0,0,0,1,2,136,700.0133333333333
dlf the icon,6.0,sector 43,26086.0,2300.08,Carpet area: 2300 (213.68 sq.m.),4,4,3+,18.0,North-East,Old Property,flat,,,2300.0,0,1,0,0,0,2,150,575.02
vatika city,1.72,sector 49,7818.0,2200.05,Carpet area: 2200 (204.39 sq.m.),3,3,2,2.0,North-East,Old Property,flat,,,2200.0,0,0,0,0,0,2,144,733.35
pareena mi casa,0.92,sector 68,7389.0,1245.09,Super Built up area 1245(115.66 sq.m.),2,2,3,5.0,West,Under Construction,flat,1245.0,,,0,0,0,0,1,0,50,622.545
independent,1.5,sector 67,8641.0,1736.0,Carpet area: 180 (150.5 sq.m.),5,3,2,2.0,,New Property,house,,,180.0,0,0,0,0,0,0,0,347.2
ireo skyon,2.12,sector 60,15531.0,1365.01,Super Built up area 1365(126.81 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),2,2,2,2.0,North-East,Relatively New,flat,1365.0,1350.0,1300.0,0,0,0,1,0,2,174,682.505
m3m skywalk,1.54,sector 74,10814.0,1424.08,Super Built up area 1424(132.29 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1139 sq.ft. (105.82 sq.m.),2,2,3+,15.0,South-East,Relatively New,flat,1424.0,1200.0,1139.0,0,0,0,0,1,0,137,712.04
parsvnath green ville,1.6,sector 48,8376.0,1910.22,Super Built up area 1910(177.44 sq.m.)Built Up area: 1895 sq.ft. (176.05 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3+,8.0,North,Old Property,flat,1910.0,1895.0,1800.0,0,0,0,0,1,2,49,636.74
la vida by tata housing,2.7,sector 113,16363.0,1650.06,Built Up area: 2217 (205.97 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,4,3+,4.0,North-West,Relatively New,flat,,2217.0,1650.0,0,1,0,0,0,2,49,550.02
m3m heights,3.0,sector 65,18000.0,1666.67,Super Built up area 1828(169.83 sq.m.),3,3,3,20.0,South-East,Under Construction,flat,1828.0,,,0,0,0,0,0,0,60,555.5566666666667
tulip white,0.9,sector 69,6787.0,1326.06,Carpet area: 1326 (123.19 sq.m.),3,2,3,6.0,North-East,Relatively New,flat,,,1326.0,0,0,0,1,0,0,121,442.02
