society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
umang monsoon breeze,0.9,sector 78,4615.0,3,3,2,1.0,Moderately Old,flat,1900.0,0,1,0,1,0,0,65
signature global park,0.78,sohna road,6404.0,3,3,3,1.0,Relatively New,flat,1344.0,0,0,0,1,0,0,150
godrej summit,1.2,sector 104,8298.0,3,2,3+,16.0,Relatively New,flat,1607.0,1,0,0,1,0,2,142
raheja vedaanta,0.65,sector 108,4761.0,2,2,2,5.0,Relatively New,flat,1235.0,0,0,0,1,0,2,174
smart world orchard,1.7,sector 61,15000.0,2,2,2,4.0,Under Construction,flat,1278.0,0,0,0,0,0,0,24
vatika lifestyle homes,1.15,sector 83,6552.0,3,2,3,15.0,Relatively New,flat,1588.0,0,0,0,0,0,0,37
signature global park,0.54,sohna road,6331.0,2,2,2,4.0,Relatively New,flat,939.0,0,0,0,1,0,0,159
pioneer araya,9.2,sector 62,19943.0,4,6,3,5.0,Relatively New,flat,3867.0,0,1,0,1,0,2,156
sare homes,0.8,sector 92,5252.0,3,3,3,7.0,Relatively New,flat,1692.0,1,0,0,0,0,2,80
independent,5.5,sector 23,13095.0,9,9,3+,3.0,Moderately Old,house,4200.0,0,1,0,0,1,2,0
hcbs sports ville,0.29,sohna road,5587.0,2,2,1,4.0,Relatively New,flat,577.0,0,0,0,0,0,0,44
ramprastha the edge towers,1.1,sector 37d,5528.0,3,3,3,9.0,Relatively New,flat,1990.0,0,0,0,0,0,0,63
tulip violet,1.55,sector 69,9822.0,3,3,2,5.0,Relatively New,flat,1428.0,0,0,0,1,0,0,99
independent,4.5,sector 24,33333.0,2,8,3+,4.0,Relatively New,house,1350.0,0,1,1,0,0,2,56
dlf regal gardens,1.78,sector 90,8040.0,4,4,3+,12.0,Relatively New,flat,2005.0,0,0,0,0,0,0,61
whiteland blissville,1.92,sector 76,11794.0,3,3,2,3.0,Under Construction,flat,1628.0,0,0,0,0,0,0,61
gls arawali homes,0.3,sohna road,4687.0,2,2,2,4.0,Relatively New,flat,711.0,0,0,0,0,0,0,42
shree vardhman victoria,1.65,sector 70,8461.0,3,3,2,6.0,Relatively New,flat,2167.0,1,0,0,0,0,0,72
dlf gardencity enclave,1.3,sector 93,11285.0,3,2,1,3.0,Relatively New,house,1152.0,0,0,0,0,0,0,50
bptp terra,1.65,sector 37d,8790.0,3,3,2,15.0,Relatively New,flat,1699.0,0,0,0,0,0,0,116
tulip petals,1.1,sector 89,7097.0,3,2,3,4.0,New Property,flat,1550.0,0,0,0,0,0,0,0
shree vardhman flora,0.9,sector 90,4615.0,3,4,3,4.0,Relatively New,flat,1765.0,0,1,0,0,0,0,165
pivotal devaan,0.37,sector 84,6346.0,2,2,1,5.0,Relatively New,flat,532.0,0,0,0,0,0,0,73
dlf express greens,1.5,manesar,6358.0,4,5,3+,10.0,New Property,flat,2135.0,0,1,0,0,0,0,32
bptp astaire gardens,6.5,sector 70a,27873.0,4,4,3+,2.0,New Property,house,2332.0,1,1,0,1,0,2,160
bestech park view residency,1.51,sector 2,7869.0,3,4,3+,7.0,Moderately Old,flat,1738.0,0,1,0,0,0,2,84
not applicable,0.65,sector 4,13000.0,2,1,1,3.0,Moderately Old,house,500.0,0,0,0,0,0,0,7
indiabulls enigma,3.79,sector 110,9895.0,5,5,3,4.0,Relatively New,flat,3466.0,0,1,0,0,1,0,125
aipl the peaceful homes,2.3,sector 70a,10697.0,3,3,3,3.0,Relatively New,flat,1946.0,0,0,1,0,0,2,124
emaar mgf emerald floors premier,2.8,sector 65,16969.0,4,4,3,2.0,Relatively New,flat,1650.07,1,0,0,0,0,2,89
independent,1.2,sector 7,11194.0,2,4,2,3.0,Old Property,house,1072.0,0,0,0,0,0,0,0
conscient elevate,6.75,sector 59,19882.0,4,4,2,10.0,New Property,flat,2567.0,0,1,0,0,0,0,31
suncity vatsal valley,1.53,gwal pahari,10699.0,3,3,3,2.0,New Property,flat,1589.0,0,0,0,0,0,2,117
eldeco mansionz,6.4,sector 48,23704.0,4,4,3,3.0,Moderately Old,house,2700.0,0,1,1,0,0,2,151
adani brahma samsara vilasa,4.49,sector 63,14254.0,4,4,3+,3.0,New Property,flat,3149.99,0,0,0,0,0,2,96
vatika city,2.1,sector 49,10418.0,3,3,3,9.0,Moderately Old,flat,1604.25,0,0,0,1,0,2,132
sidhartha ncr one phase,0.46,sector 95,4646.0,2,2,0,6.0,New Property,flat,990.0,0,0,0,0,0,0,0
independent,12.0,sector 28,42194.0,4,5,3+,4.0,Relatively New,house,2844.0,0,1,1,1,0,2,60
independent,2.8,sector 23,17983.0,5,5,3+,2.0,Old Property,house,1557.0,0,0,0,1,0,2,74
gls avenue 51,0.21,sector 92,6953.0,1,1,1,0.0,Relatively New,flat,336.0,0,0,0,0,0,0,63
godrej oasis,1.4,sector 88a,7567.0,3,3,3+,4.0,Relatively New,flat,1674.0,0,0,0,0,0,2,38
signature global park,0.9,sohna road,8035.0,3,2,2,2.0,Under Construction,flat,1014.0,0,0,0,0,0,0,144
milan cghs 9,2.0,sector 39,8333.0,3,3,3+,0.0,Old Property,flat,2400.0,0,0,0,0,0,0,0
independent,4.75,sector 22,20068.0,7,5,3+,3.0,Old Property,house,2367.0,0,0,0,1,1,2,49
godrej,2.0,sector 79,8453.0,3,4,3+,2.0,Relatively New,flat,2629.0,0,1,0,0,0,2,156
emaar gurgaon greens,1.45,sector 102,8787.0,3,3,3,7.0,Relatively New,flat,1493.0,0,1,0,0,0,0,159
m3m skycity,2.0,sector 65,15267.0,2,2,2,16.0,New Property,flat,1186.0,0,0,0,0,0,2,174
vatika lifestyle homes,1.05,sector 83,7500.0,3,2,2,1.0,Moderately Old,flat,1600.0,0,0,0,0,0,2,106
umang monsoon breeze,0.69,sector 78,5390.0,2,2,2,11.0,Moderately Old,flat,1422.0,0,0,0,0,0,0,60
dlf regal gardens,1.29,sector 90,9020.0,3,3,3,7.0,Relatively New,flat,1540.0,1,0,0,0,0,0,174
chd avenue,0.79,sector 71,6594.0,2,2,2,8.0,Relatively New,flat,1084.0,0,0,0,0,1,0,0
unitech escape,12.0,sector 50,37037.0,5,6,3+,3.0,Moderately Old,house,3240.0,0,0,0,0,0,0,66
siddhartha apartment,1.1,sector 95,4327.0,4,3,3,9.0,Relatively New,flat,2824.0,0,1,0,0,1,0,22
the castle society,2.0,sector 56,8695.0,4,4,2,4.0,Under Construction,flat,2081.0,0,0,0,0,0,0,0
dlf city plots,4.0,sector 26,4531.0,4,3,2,2.0,Relatively New,house,8829.0,0,0,0,0,0,2,0
ss the coralwood,1.1,sector 84,5820.0,3,3,3+,12.0,Moderately Old,flat,1710.0,0,0,0,0,0,2,104
emaar gurgaon greens,1.35,sector 102,8181.0,3,3,3,5.0,Relatively New,flat,1315.0,0,1,0,0,0,0,119
godrej summit,1.1,sector 104,8669.0,2,2,3,16.0,Under Construction,flat,1148.0,0,0,0,0,1,0,88
corona optus,1.25,sector 37c,7175.0,3,3,3,2.0,Relatively New,flat,1563.0,1,0,0,0,0,0,49
sare crescent parc royal greens phase 1,0.5,sector 92,5000.0,2,2,3,2.0,Relatively New,flat,1000.0,0,0,0,0,0,0,0
malibu towers,2.45,sector 47,10698.0,3,4,2,1.0,Old Property,flat,2544.0,1,0,0,0,0,2,42
