society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
emaar mgf emerald estate,1.7,sector 65,21013.0,3,3,3,7.0,Relatively New,flat,1081.0,1,0,0,0,0,2,116,"28.4030° N, 77.0690° E",28.403,77.069
smart world gems,1.2,sector 89,8432.0,3,3,2,3.0,New Property,flat,1423.0,1,0,0,0,1,0,37,"28.4253° N, 76.9439° E",28.4253,76.9439
microtek greenburg,1.25,sector 86,8445.0,2,2,3,13.0,Moderately Old,flat,1339.0,1,0,0,0,0,0,6,"28.3986° N, 76.9384° E",28.3986,76.9384
shapoorji pallonji joyville gurugram,1.05,sector 102,11475.0,2,2,2,0.0,Under Construction,flat,1017.0,0,0,0,0,0,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
unitech greenwood city,2.4,sector 45,12346.0,3,3,2,1.0,New Property,flat,195.0,0,1,0,0,0,2,19,"28.4466° N, 77.0660° E",28.4466,77.066
sare homes,1.25,sector 92,6200.0,4,3,0,16.0,Under Construction,flat,2040.0,0,0,0,0,0,0,49,"28.4079° N, 76.9153° E",28.4079,76.9153
unitech nirvana birch court,11.95,sector 50,36883.0,3,3,2,1.0,Moderately Old,house,3240.0,1,1,0,0,0,0,101,"28.4178° N, 77.0628° E",28.4178,77.0628
bestech park view city,1.76,sector 48,9909.0,3,3,3+,9.0,Moderately Old,flat,1576.0,0,1,0,1,0,2,158,"28.4177° N, 77.0359° E",28.4177,77.0359
antriksh heights,0.73,sector 84,6083.0,2,2,3+,4.0,Relatively New,flat,1026.0,1,0,1,1,0,0,158,"28.3979° N, 76.9736° E",28.3979,76.9736
unitech the residences,1.1,sector 33,9909.0,2,2,3,9.0,Moderately Old,flat,1100.0,0,0,0,0,0,2,44,"28.4420° N, 77.0207° E",28.442,77.0207
experion windchants,5.2,sector 112,10726.0,4,6,3+,15.0,Relatively New,flat,3655.35,0,1,0,1,0,2,174,"28.5189° N, 77.0183° E",28.5189,77.0183
paras dews,1.13,sector 106,6406.0,3,4,3+,18.0,Relatively New,flat,1186.0,1,1,0,0,0,0,49,"28.5007° N, 77.0003° E",28.5007,77.0003
ireo uptown,1.85,sector 66,12567.0,2,3,3,16.0,Relatively New,flat,1470.0,0,1,0,0,1,2,79,"28.3925° N, 77.0541° E",28.3925,77.0541
independent,17.0,sector 26,37627.0,5,5,3+,2.0,Relatively New,house,4518.0,1,1,1,1,0,2,124,"28.4757° N, 77.1032° E",28.4757,77.1032
international city by sobha phase 2,5.65,sector 109,10463.0,4,4,3+,2.0,New Property,house,5400.0,0,1,0,0,1,2,44,"28.5073° N, 77.0089° E",28.5073,77.0089
signature global the millennia,0.65,sector 37d,10906.0,2,2,3,0.0,New Property,flat,625.0,0,0,0,0,0,0,40,"28.4478° N, 76.9703° E",28.4478,76.9703
tulip violet,1.6,sector 69,10139.0,3,3,2,0.0,Relatively New,flat,1428.0,0,0,0,1,0,0,166,"28.3966° N, 77.0341° E",28.3966,77.0341
ireo the corridors,2.0,sector 67a,11580.0,3,3,2,6.0,Under Construction,flat,1346.0,0,0,0,0,1,0,15,"28.3960° N, 77.0372° E",28.396,77.0372
kanchanjanga tower,1.45,sector 56,7631.0,3,3,3+,2.0,Moderately Old,flat,1719.0,0,0,0,0,0,2,126,"28.4245° N, 77.0991° E",28.4245,77.0991
bestech park view spa next,2.32,sector 67,11989.0,3,4,3+,14.0,Moderately Old,flat,1764.0,0,1,0,0,0,2,59,"28.3859° N, 77.0608° E",28.3859,77.0608
imperia the esfera,1.4,sector 37c,5384.0,4,5,3,9.0,Relatively New,flat,2343.0,1,1,0,1,1,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
ansal heights 86,0.64,sector 86,4706.0,2,2,1,3.0,New Property,flat,1360.0,0,0,0,0,0,0,73,"28.3986° N, 76.9384° E",28.3986,76.9384
independent,3.6,sector 57,20833.0,4,4,2,2.0,Old Property,house,1728.0,1,1,1,1,0,0,110,"28.4232° N, 77.0752° E",28.4232,77.0752
bestech park view grand spa,4.0,sector 81,9523.0,4,5,3+,15.0,Relatively New,flat,3801.0,0,1,0,0,0,2,127,"28.3867° N, 76.9485° E",28.3867,76.9485
dlf regal gardens,1.27,sector 90,5499.0,3,3,3+,2.0,Relatively New,flat,1500.0,0,0,0,0,1,0,72,"28.4085° N, 76.9369° E",28.4085,76.9369
central park flower valley aqua front towers,1.7,sector 33,9449.0,3,3,3+,5.0,New Property,flat,1697.0,0,0,0,0,0,2,44,"28.4420° N, 77.0207° E",28.442,77.0207
dlf city plots,13.5,sector 26,29880.0,5,5,2,2.0,Moderately Old,house,4518.0,1,1,0,0,1,2,104,"28.4757° N, 77.1032° E",28.4757,77.1032
huda housing board colony,4.6,sector 31,31507.0,2,4,3+,3.0,Old Property,house,1460.0,0,0,0,0,1,0,8,"28.4528° N, 77.0498° E",28.4528,77.0498
adani m2k oyster grande,1.9,sector 102,14074.0,3,4,3,21.0,Relatively New,flat,1605.0,0,1,0,0,0,0,60,"28.4750° N, 76.9715° E",28.475,76.9715
dlf the skycourt,1.59,sector 86,8242.0,3,3,3,17.0,Relatively New,flat,1700.0,0,0,0,0,1,2,165,"28.3986° N, 76.9384° E",28.3986,76.9384
ss the leaf,2.13,sector 85,7574.0,4,4,3,6.0,Relatively New,flat,2600.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
vipul lavanya,0.6,sector 81,6666.0,2,2,1,0.0,Under Construction,flat,814.0,0,0,0,0,0,0,0,"28.3867° N, 76.9485° E",28.3867,76.9485
shapoorji pallonji joyville gurugram,1.95,sector 102,13928.0,3,3,3,6.0,New Property,flat,1616.0,0,0,0,1,0,2,174,"28.4750° N, 76.9715° E",28.475,76.9715
parsvnath exotica,5.0,sector 53,17271.0,3,4,3+,8.0,Relatively New,flat,2500.0,0,1,0,1,1,2,49,"28.4433° N, 77.0948° E",28.4433,77.0948
dlf regency park,1.35,sector 28,11992.0,2,2,2,1.0,Moderately Old,flat,1109.0,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
independent,4.25,sector 10a,17955.0,4,3,2,1.0,Moderately Old,house,2367.0,0,0,0,0,0,0,0,"28.4469° N, 77.0106° E",28.4469,77.0106
experion windchants,3.75,sector 112,13383.0,3,3,2,21.0,Relatively New,flat,2225.56,0,1,0,0,0,2,159,"28.5189° N, 77.0183° E",28.5189,77.0183
ild greens,0.95,sector 37c,9223.0,2,2,3+,11.0,Relatively New,flat,1179.0,0,0,1,1,0,2,119,"28.4515° N, 76.9882° E",28.4515,76.9882
adani brahma samsara vilasa,3.35,sector 63,16470.0,3,3,3+,3.0,New Property,flat,2034.0,0,0,0,0,0,2,16,"28.3971° N, 77.0867° E",28.3971,77.0867
m3m skywalk,1.5,sector 74,10714.0,2,2,1,8.0,New Property,flat,1556.0,0,0,0,0,0,0,16,"28.4158° N, 77.0118° E",28.4158,77.0118
ambience creacions,3.2,sector 22,11500.0,3,4,3+,2.0,New Property,flat,2517.0,0,0,0,0,0,0,42,"28.5072° N, 77.0640° E",28.5072,77.064
tulip violet,1.66,sector 69,8408.0,4,4,1,12.0,Relatively New,flat,1783.0,0,0,0,1,0,0,102,"28.3966° N, 77.0341° E",28.3966,77.0341
mrg skyline,1.82,sector 106,13392.0,3,2,2,4.0,Relatively New,flat,1359.0,0,0,0,0,0,0,0,"28.5007° N, 77.0003° E",28.5007,77.0003
independent,3.55,sector 46,24500.0,5,4,3+,3.0,Moderately Old,house,1449.0,0,1,0,0,0,2,73,"28.4374° N, 77.0586° E",28.4374,77.0586
independent,1.35,sector 11,3857.0,10,6,3+,3.0,Old Property,house,3500.0,0,0,0,0,0,0,0,"28.4531° N, 77.0202° E",28.4531,77.0202
vatika city,2.64,sector 49,11725.0,3,4,3+,2.0,Moderately Old,flat,2251.6,0,1,0,1,0,2,140,"28.4121° N, 77.0480° E",28.4121,77.048
emaar mgf palm hills,1.65,sector 77,8461.0,4,3,3,9.0,Relatively New,flat,1765.0,0,1,0,0,0,0,100,"28.3801° N, 76.9845° E",28.3801,76.9845
puri diplomatic greens,3.65,sector 111,12372.0,4,5,3+,17.0,Moderately Old,flat,2670.0,0,1,0,0,0,2,132,"28.5238° N, 77.0320° E",28.5238,77.032
godrej aria,1.45,sector 79,9062.0,2,2,3+,9.0,Relatively New,flat,1494.0,1,0,0,0,0,0,113,"28.3624° N, 76.9787° E",28.3624,76.9787
m3m capital,2.9,sector 113,12619.0,4,4,3+,11.0,Under Construction,flat,2553.0,1,1,0,0,0,0,49,"28.5287° N, 77.0233° E",28.5287,77.0233
bestech altura,1.85,sector 79,8604.0,3,4,3+,11.0,New Property,flat,1946.0,0,1,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
la vida by tata housing,3.35,sector 113,16750.0,3,4,3+,12.0,New Property,flat,2200.0,1,1,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
emaar mgf marbella,15.1,sector 66,18605.0,5,5,3+,3.0,New Property,house,8067.799999999999,1,1,1,1,0,0,120,"28.3925° N, 77.0541° E",28.3925,77.0541
mapsko mount ville,1.2,sector 79,13837.0,3,3,3,18.0,Relatively New,flat,1165.0,1,0,0,1,0,2,160,"28.3624° N, 76.9787° E",28.3624,76.9787
ild greens,1.05,sector 37c,7500.0,3,3,3,4.0,New Property,flat,1500.0,0,0,0,0,0,2,5,"28.4515° N, 76.9882° E",28.4515,76.9882
vatika xpressions,1.1,sector 88b,8148.0,2,4,3+,2.0,Under Construction,flat,1350.0,1,0,0,0,0,0,58,"28.4446° N, 76.9542° E",28.4446,76.9542
ireo skyon,2.82,sector 60,12818.0,3,3,3,2.0,Relatively New,flat,2400.0,0,1,0,0,0,2,174,"28.4003° N, 77.0975° E",28.4003,77.0975
experion windchants,5.31,sector 112,11204.0,4,6,3+,15.0,Relatively New,flat,3573.33,0,1,0,1,0,0,72,"28.5189° N, 77.0183° E",28.5189,77.0183
gls avenue 51,0.45,sector 92,6000.0,3,3,1,10.0,Relatively New,flat,833.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
smart world orchard,2.2,sector 61,13496.0,3,3,2,3.0,Under Construction,flat,1811.0,0,0,0,0,0,0,16,"28.4050° N, 77.0963° E",28.405,77.0963
puri emerald bay,2.23,sector 104,9911.0,3,4,3+,10.0,Relatively New,flat,2359.0,0,1,0,0,0,2,159,"28.4788° N, 76.9960° E",28.4788,76.996
central park flower valley cerise floors,1.3,sector 33,10743.0,2,2,2,3.0,New Property,flat,1095.0,1,0,0,0,0,0,22,"28.4420° N, 77.0207° E",28.442,77.0207
shapoorji pallonji joyville gurugram,1.24,sector 102,10205.0,2,2,2,10.0,Relatively New,flat,1100.0,0,0,0,0,0,0,141,"28.4750° N, 76.9715° E",28.475,76.9715
dlf the ultima,2.4,sector 81,11412.0,3,3,3+,12.0,Relatively New,flat,1650.0,0,1,0,0,0,1,49,"28.3867° N, 76.9485° E",28.3867,76.9485
tulip violet,3.25,sector 69,10105.0,4,5,3+,14.0,Relatively New,flat,2910.0,0,0,0,1,1,0,20,"28.3966° N, 77.0341° E",28.3966,77.0341
independent,5.0,sector 23,16244.0,4,4,2,2.0,Old Property,house,3078.0,0,0,0,0,0,0,7,"28.5121° N, 77.0478° E",28.5121,77.0478
orchid petals,1.9,sector 49,10526.0,3,3,3,9.0,Moderately Old,flat,2006.0,0,1,0,0,0,2,95,"28.4121° N, 77.0480° E",28.4121,77.048
signature global city 92,0.78,sector 92,11142.0,2,2,3,2.0,Under Construction,flat,846.0,0,0,0,0,1,0,24,"28.4079° N, 76.9153° E",28.4079,76.9153
puri emerald bay,1.32,sector 104,8516.0,2,2,2,10.0,Relatively New,flat,1403.0,0,0,0,0,0,0,128,"28.4788° N, 76.9960° E",28.4788,76.996
adani aangan arcade,0.45,sector 88a,7194.0,2,2,1,8.0,New Property,flat,695.0,0,0,0,0,0,0,14,"28.4347° N, 76.9557° E",28.4347,76.9557
ss the leaf,2.1,sector 85,7467.0,4,5,3+,9.0,Relatively New,flat,2545.0,0,0,0,0,0,2,67,"28.4042° N, 76.9513° E",28.4042,76.9513
huda ashok vihar phase,0.7,sector 4,10234.0,3,2,1,2.0,New Property,house,684.0,1,0,0,0,0,0,7,"28.4738° N, 77.0107° E",28.4738,77.0107
parsvnath exotica,4.8,sector 53,14680.0,3,4,3+,12.0,New Property,flat,2895.0,0,0,0,0,0,0,69,"28.4433° N, 77.0948° E",28.4433,77.0948
shree vardhman victoria,1.07,sector 70,7925.0,2,2,3,8.0,Relatively New,flat,1222.0,1,0,0,0,0,0,108,"28.3968° N, 77.0233° E",28.3968,77.0233
godrej aria,1.1,sector 79,11482.0,2,2,3,9.0,New Property,flat,81.0,0,0,0,0,0,0,62,"28.3624° N, 76.9787° E",28.3624,76.9787
ansal heights,0.72,sector 92,4500.0,3,3,3,9.0,Relatively New,flat,1700.0,0,1,0,0,0,0,49,"28.4079° N, 76.9153° E",28.4079,76.9153
emaar gurgaon greens,1.39,sector 102,8424.0,3,3,3,7.0,Relatively New,flat,1493.0,0,1,0,0,0,2,21,"28.4750° N, 76.9715° E",28.475,76.9715
tulip violet,1.3,sector 69,8283.0,3,3,1,12.0,Relatively New,flat,1419.0,0,0,0,1,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
ramsons kshitij,0.35,sector 95,5495.0,2,2,0,5.0,New Property,flat,637.0,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
experion windchants,3.0,sector 112,11538.0,3,3,2,2.0,Relatively New,flat,2600.0,0,0,0,0,1,2,49,"28.5189° N, 77.0183° E",28.5189,77.0183
sbtl caladium,1.68,sector 109,6601.0,3,3,3+,7.0,Moderately Old,flat,2303.0,0,1,0,0,0,0,134,"28.5073° N, 77.0089° E",28.5073,77.0089
ramprastha the edge towers,0.8,sector 37d,5797.0,2,2,3,2.0,Relatively New,flat,1300.0,0,0,0,0,0,0,78,"28.4478° N, 76.9703° E",28.4478,76.9703
shree vardhman flora,0.9,sector 90,4615.0,3,4,3,4.0,Relatively New,flat,1765.0,0,1,0,0,0,0,165,"28.4085° N, 76.9369° E",28.4085,76.9369
ats triumph,2.63,sector 104,9563.0,4,4,3+,21.0,Relatively New,flat,2953.0,0,1,0,0,0,2,161,"28.4788° N, 76.9960° E",28.4788,76.996
tulip violet,1.65,sector 69,8872.0,3,3,2,1.0,Relatively New,flat,1578.0,0,0,0,0,0,2,69,"28.3966° N, 77.0341° E",28.3966,77.0341
suncity avenue 76,0.75,sector 76,10067.0,2,2,2,11.0,New Property,house,745.0,0,0,0,0,0,0,40,"28.3935° N, 76.9888° E",28.3935,76.9888
bestech park view sanskruti,1.6,sector 92,7547.0,3,3,3,10.0,Relatively New,flat,1765.0,0,1,0,0,0,2,60,"28.4079° N, 76.9153° E",28.4079,76.9153
green campus chs,0.9,manesar,3935.0,3,3,3+,6.0,Moderately Old,flat,2070.0,0,1,0,0,0,0,5,"28.3515° N, 76.9428° E",28.3515,76.9428
dlf park place,6.75,sector 54,24963.0,4,4,2,8.0,Moderately Old,flat,2076.0,0,1,0,0,0,1,135,"28.4348° N, 77.1089° E",28.4348,77.1089
independent,3.5,sector 5,14787.0,5,4,2,2.0,Old Property,house,2367.0,0,0,0,1,1,0,36,"28.4794° N, 77.0176° E",28.4794,77.0176
vatika gurgaon,0.98,sector 83,8166.0,2,2,3,5.0,Relatively New,flat,1300.0,0,0,0,0,0,2,96,"28.3986° N, 76.9647° E",28.3986,76.9647
suncity avenue 76,0.75,sector 76,10204.0,2,2,2,11.0,Under Construction,flat,665.0,0,0,0,0,0,0,57,"28.3935° N, 76.9888° E",28.3935,76.9888
ansal api celebrity suites,0.6,sector 2,8163.0,1,1,1,5.0,Moderately Old,flat,665.0,0,0,0,0,0,2,67,"28.5095° N, 77.0320° E",28.5095,77.032
tulip lemon,0.62,sector 69,12863.0,2,2,1,4.0,Relatively New,flat,536.0,0,0,0,0,0,2,108,"28.3966° N, 77.0341° E",28.3966,77.0341
guru gram haryana cghs,1.39,sector 56,7227.0,3,3,3,4.0,Moderately Old,flat,1738.0,1,0,0,0,0,2,134,"28.4245° N, 77.0991° E",28.4245,77.0991
emaar mgf marbella,12.0,sector 66,37037.0,4,4,3+,3.0,Relatively New,house,3240.0,1,1,1,1,0,2,160,"28.3925° N, 77.0541° E",28.3925,77.0541
dlf regal gardens,1.25,sector 90,6459.0,3,3,3,10.0,Relatively New,flat,1650.0,0,0,0,0,1,2,38,"28.4085° N, 76.9369° E",28.4085,76.9369
independent,7.5,sector 82,23148.0,5,5,3+,2.0,Relatively New,house,3240.0,0,1,0,1,0,2,135,"28.3935° N, 76.9600° E",28.3935,76.96
signature global synera,0.5,sector 81,6802.0,2,2,3,6.0,Relatively New,flat,700.0,0,0,0,0,0,0,117,"28.3867° N, 76.9485° E",28.3867,76.9485
smart world gems,0.88,sector 89,7978.0,2,2,0,2.0,New Property,flat,1103.0,0,0,0,0,0,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
experion windchants,9.5,sector 112,23457.0,5,5,3,2.0,Relatively New,house,7450.0,0,1,0,0,0,0,45,"28.5189° N, 77.0183° E",28.5189,77.0183
parsvnath green ville,1.5,sector 48,8787.0,3,3,3,1.0,Old Property,flat,1600.0,0,0,0,0,0,2,128,"28.4177° N, 77.0359° E",28.4177,77.0359
m3m skycity,2.1,sector 65,16030.0,2,2,2,43.0,New Property,flat,1186.0,0,0,0,0,0,0,127,"28.4030° N, 77.0690° E",28.403,77.069
signature global solera,0.36,sector 107,6581.0,2,2,2,8.0,Relatively New,flat,608.0,0,0,0,0,0,0,45,"28.5052° N, 76.9729° E",28.5052,76.9729
tarc maceo,0.95,sector 91,5954.0,2,2,2,10.0,Relatively New,flat,1186.0,0,0,0,0,0,0,77,"28.4014° N, 76.9225° E",28.4014,76.9225
godrej,0.95,sector 33,6859.0,2,2,3+,3.0,Under Construction,flat,1253.0,0,0,0,0,0,0,0,"28.4420° N, 77.0207° E",28.442,77.0207
indiabulls centrum park,2.36,sector 103,9182.0,4,6,3+,8.0,Relatively New,flat,2729.0,0,1,0,0,0,2,159,"28.4949° N, 76.9845° E",28.4949,76.9845
smart world gems,0.97,sector 89,8794.0,2,2,3+,2.0,New Property,flat,1103.0,0,0,0,0,0,0,49,"28.4253° N, 76.9439° E",28.4253,76.9439
lotus homz,0.6,sector 111,8450.0,2,2,3,9.0,New Property,flat,789.0,0,0,0,0,0,0,52,"28.5238° N, 77.0320° E",28.5238,77.032
hsiidc sidco aravali,0.9,manesar,3477.0,3,3,3,2.0,Old Property,flat,1900.0,0,1,0,0,0,1,21,"28.3515° N, 76.9428° E",28.3515,76.9428
vatika city homes,1.0,sector 83,5747.0,3,3,2,2.0,Relatively New,flat,1575.0,0,0,1,0,0,2,174,"28.3986° N, 76.9647° E",28.3986,76.9647
bhim nagar society,0.4,sector 6,2500.0,4,2,2,1.0,Moderately Old,house,1600.0,0,0,0,0,0,0,0,"28.4745° N, 77.0262° E",28.4745,77.0262
rail vihar cghs,1.35,sector 56,10384.0,3,2,2,1.0,Old Property,flat,1275.0,0,0,0,0,1,0,159,"28.4245° N, 77.0991° E",28.4245,77.0991
experion the heartsong,0.87,sector 108,11845.0,2,3,3,2.0,Relatively New,flat,978.23,0,1,0,0,0,2,123,"28.5134° N, 76.9830° E",28.5134,76.983
ats triumph,4.45,sector 104,6846.0,4,5,3+,27.0,Relatively New,flat,7222.0,0,0,0,0,0,0,110,"28.4788° N, 76.9960° E",28.4788,76.996
pareena coban residences,1.1,sector 99a,7096.0,2,2,3,9.0,New Property,flat,1368.0,1,0,0,0,0,0,88,"28.4561° N, 76.9542° E",28.4561,76.9542
experion the heartsong,2.08,sector 108,9904.0,4,4,3+,3.0,Relatively New,flat,2631.0,0,1,0,0,0,0,126,"28.5134° N, 76.9830° E",28.5134,76.983
smart world orchard,2.2,sector 61,14202.0,3,3,2,4.0,New Property,flat,1721.0,0,0,0,0,0,0,152,"28.4050° N, 77.0963° E",28.405,77.0963
tulip violet,2.0,sector 69,9950.0,4,4,2,0.0,Relatively New,flat,1819.0,0,0,0,0,0,0,95,"28.3966° N, 77.0341° E",28.3966,77.0341
m3m sierra 68,1.1,sector 68,8986.0,2,2,3,1.0,Relatively New,flat,1150.0,0,0,0,0,0,2,127,"28.3853° N, 77.0484° E",28.3853,77.0484
tulip white,0.91,sector 69,6862.0,3,2,2,12.0,Moderately Old,flat,1473.0,0,0,0,0,0,0,43,"28.3966° N, 77.0341° E",28.3966,77.0341
signature global city 81,0.82,sector 81,8639.0,2,2,3,2.0,Relatively New,flat,955.0,0,0,0,0,0,0,53,"28.3867° N, 76.9485° E",28.3867,76.9485
tulip violet,1.75,sector 69,8883.0,4,4,1,12.0,Relatively New,flat,1783.0,0,0,0,0,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
chd avenue,1.15,sector 71,6526.0,3,3,2,15.0,Moderately Old,flat,1541.0,0,1,0,0,0,2,66,"28.4104° N, 77.0281° E",28.4104,77.0281
dlf city plots phase 2,6.3,sector 25,35000.0,4,4,3+,2.0,Old Property,house,1800.0,0,1,1,0,0,0,89,"28.4844° N, 77.0860° E",28.4844,77.086
m3m woodshire,1.65,sector 107,5960.0,4,5,3+,12.0,Relatively New,flat,2505.0,0,1,0,0,0,0,21,"28.5052° N, 76.9729° E",28.5052,76.9729
emaar mgf emerald floors premier,2.7,sector 65,16363.0,3,3,3,5.0,Relatively New,flat,1650.06,0,1,1,0,0,2,108,"28.4030° N, 77.0690° E",28.403,77.069
suncity township,2.0,sector 54,3440.0,9,9,3,11.0,Relatively New,house,60.0,0,1,0,0,0,1,7,"28.4348° N, 77.1089° E",28.4348,77.1089
sidhartha ncr greens,0.96,sector 95,6201.0,3,3,3,8.0,New Property,flat,1720.0,0,0,1,1,0,0,8,"28.4172° N, 76.9081° E",28.4172,76.9081
bestech park view sanskruti,1.6,sector 92,8020.0,3,4,3+,10.0,Relatively New,flat,1615.0,0,1,0,0,1,2,174,"28.4079° N, 76.9153° E",28.4079,76.9153
la vida by tata housing,3.0,sector 113,14285.0,3,3,3+,3.0,Relatively New,flat,2460.0,0,1,0,0,0,0,167,"28.5287° N, 77.0233° E",28.5287,77.0233
shree vardhman victoria,1.75,sector 70,8974.0,3,5,0,0.0,Relatively New,flat,1950.0,0,0,0,0,0,0,47,"28.3968° N, 77.0233° E",28.3968,77.0233
anshul,0.85,sector 6,7727.0,2,2,0,4.0,Moderately Old,house,1222.0,0,0,0,0,0,0,0,"28.4745° N, 77.0262° E",28.4745,77.0262
bptp terra,1.6,sector 37d,7302.0,4,3,3+,7.0,Relatively New,flat,2000.0,0,0,0,0,1,2,139,"28.4478° N, 76.9703° E",28.4478,76.9703
rof ananda,0.46,sector 95,6318.0,2,2,2,11.0,New Property,flat,809.0,1,0,0,0,0,0,82,"28.4172° N, 76.9081° E",28.4172,76.9081
independent,0.38,sector 105,8444.0,2,2,2,1.0,Moderately Old,house,56.0,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
bhim garh kheri,1.5,sector 3,7576.0,7,2,0,1.0,Moderately Old,house,1980.0,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
signature global city 37d ph 2,1.1,sector 37d,8148.0,3,3,1,2.0,Under Construction,flat,1500.0,0,0,0,1,0,0,30,"28.4478° N, 76.9703° E",28.4478,76.9703
tulip violet,1.68,sector 69,10071.0,3,3,2,0.0,Relatively New,flat,1510.0,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
proxima tower,0.6,sector 37c,4602.0,2,2,3,5.0,Under Construction,flat,1180.0,1,0,0,1,0,0,55,"28.4515° N, 76.9882° E",28.4515,76.9882
dlf new town heights,1.51,sector 90,6387.0,4,4,3+,6.0,Relatively New,flat,2362.0,0,1,0,1,0,2,142,"28.4085° N, 76.9369° E",28.4085,76.9369
bestech park view residency,1.01,sector 2,7137.0,2,2,3,0.0,Moderately Old,flat,1281.0,0,0,0,0,0,0,92,"28.5095° N, 77.0320° E",28.5095,77.032
tulip monsella,6.02,sector 53,20816.0,3,3,3,29.0,Under Construction,flat,2892.0,0,0,0,0,0,0,68,"28.4433° N, 77.0948° E",28.4433,77.0948
shri banke bihari society,1.35,sector 56,9642.0,3,3,3+,4.0,Old Property,flat,1450.0,0,0,0,0,1,2,174,"28.4245° N, 77.0991° E",28.4245,77.0991
sobha city,3.35,sector 108,13266.0,3,4,2,19.0,New Property,flat,2525.25,0,0,0,0,0,0,102,"28.5134° N, 76.9830° E",28.5134,76.983
international city by sobha phase 1,6.0,sector 109,9634.0,4,5,3,2.0,Moderately Old,house,6228.0,0,0,0,0,0,0,76,"28.5073° N, 77.0089° E",28.5073,77.0089
bestech park view residency,1.02,sector 2,7208.0,2,2,3,11.0,Moderately Old,flat,1281.0,0,0,0,0,0,0,92,"28.5095° N, 77.0320° E",28.5095,77.032
indiabulls centrum park,1.05,sector 103,5861.0,2,2,3,1.0,Relatively New,flat,1365.0,0,0,0,0,0,2,51,"28.4949° N, 76.9845° E",28.4949,76.9845
ireo skyon,2.15,sector 60,23344.0,2,3,2,5.0,Relatively New,flat,1250.0,0,1,0,0,0,2,49,"28.4003° N, 77.0975° E",28.4003,77.0975
m3m crown,4.67,sector 111,17000.0,4,4,3+,8.0,Under Construction,flat,3056.0,0,0,0,0,0,0,73,"28.5238° N, 77.0320° E",28.5238,77.032
rof ananda,0.26,sector 95,6842.0,1,1,1,8.0,New Property,flat,422.0,0,0,0,0,0,0,49,"28.4172° N, 76.9081° E",28.4172,76.9081
godrej summit,1.35,sector 104,5000.0,4,5,3+,0.0,Relatively New,flat,3000.0,1,1,1,1,0,0,112,"28.4788° N, 76.9960° E",28.4788,76.996
suncity platinum towers,7.0,sector 28,22222.0,4,3,2,10.0,Moderately Old,flat,2488.0,0,1,0,0,0,0,31,"28.4728° N, 77.0865° E",28.4728,77.0865
vatika xpressions,0.92,sector 88b,6815.0,2,2,3,3.0,New Property,flat,1350.0,0,0,0,0,0,0,26,"28.4446° N, 76.9542° E",28.4446,76.9542
independent,5.1,sector 23,16569.0,3,2,0,1.0,Old Property,house,3078.0,0,0,0,0,1,0,27,"28.5121° N, 77.0478° E",28.5121,77.0478
independent,4.49,sector 45,24455.0,3,9,3+,3.0,Moderately Old,house,1836.0,0,0,0,0,1,2,90,"28.4466° N, 77.0660° E",28.4466,77.066
experion windchants,2.6,sector 112,10651.0,2,2,3,8.0,Relatively New,flat,2441.09,0,0,0,0,0,0,168,"28.5189° N, 77.0183° E",28.5189,77.0183
shree vardhman flora,0.64,sector 90,4923.0,2,2,3,6.0,Old Property,flat,1199.0,1,0,0,0,0,0,103,"28.4085° N, 76.9369° E",28.4085,76.9369
experion windchants,2.5,sector 112,13888.0,2,2,3,10.0,Relatively New,flat,1939.03,1,0,0,1,0,2,174,"28.5189° N, 77.0183° E",28.5189,77.0183
sunischit apartments,1.75,sector 54,7954.0,3,4,3+,5.0,Moderately Old,flat,1900.0,0,1,0,0,0,2,83,"28.4348° N, 77.1089° E",28.4348,77.1089
ats tourmaline,1.75,sector 109,8139.0,3,4,3+,2.0,Relatively New,flat,1946.0,0,1,0,0,1,0,65,"28.5073° N, 77.0089° E",28.5073,77.0089
ss the leaf,1.08,sector 85,6585.0,2,2,3,8.0,New Property,flat,1200.0,1,1,1,1,0,2,157,"28.4042° N, 76.9513° E",28.4042,76.9513
