society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
hector trimurti heights,1.5,sector 39,6382.0,4,3,3,10.0,Old Property,flat,2611.0,0,1,0,0,0,1,49,"28.4434° N, 77.0515° E",28.4434,77.0515
umang monsoon breeze,1.2,sector 78,6493.0,3,3,2,8.0,Moderately Old,flat,2045.0,0,0,0,1,0,1,8,"28.3733° N, 76.9729° E",28.3733,76.9729
signature global solera,0.49,sector 107,8222.0,2,2,1,8.0,Relatively New,flat,598.0,0,0,0,0,1,1,49,"28.5052° N, 76.9729° E",28.5052,76.9729
independent,6.5,sector 43,35403.0,5,4,3+,3.0,Moderately Old,house,1836.0,0,1,0,1,0,2,54,"28.4629° N, 77.0772° E",28.4629,77.0772
m3m one key resiments,0.8,sector 67,13115.0,1,1,0,0.0,Relatively New,flat,610.0,0,0,0,0,0,0,0,"28.3859° N, 77.0608° E",28.3859,77.0608
independent,8.31,sector 57,24171.0,5,6,3+,4.0,Old Property,house,3438.0,1,1,1,1,0,0,34,"28.4232° N, 77.0752° E",28.4232,77.0752
sare green parc phase 3,0.95,sector 92,4856.0,4,3,3,4.0,Moderately Old,flat,1770.0,0,0,0,0,0,0,67,"28.4079° N, 76.9153° E",28.4079,76.9153
sbr minda sec 1 imt manesar,0.65,manesar,4259.0,3,2,3+,6.0,Moderately Old,flat,1696.0,0,0,0,0,0,0,5,"28.3515° N, 76.9428° E",28.3515,76.9428
shree vardhman mantra,0.56,sector 67,7000.0,2,2,1,8.0,New Property,flat,889.0,0,0,0,0,0,0,65,"28.3859° N, 77.0608° E",28.3859,77.0608
experion windchants,4.25,sector 112,11294.0,3,5,2,15.0,Relatively New,flat,3000.0,0,1,0,1,0,0,72,"28.5189° N, 77.0183° E",28.5189,77.0183
global hill view,0.36,sector 11,5150.0,2,2,0,15.0,Relatively New,flat,699.0,0,0,0,0,0,0,0,"28.4531° N, 77.0202° E",28.4531,77.0202
pivotal riddhi siddhi,0.5,sector 99,8517.0,2,1,2,7.0,New Property,flat,652.0,0,0,0,0,0,0,24,"28.4640° N, 76.9614° E",28.464,76.9614
godrej,1.35,sector 79,8970.0,3,3,2,7.0,Relatively New,flat,1362.0,0,0,0,0,0,0,118,"28.3624° N, 76.9787° E",28.3624,76.9787
ramsons kshitij,0.28,sector 95,3650.0,2,2,2,5.0,New Property,flat,694.0,0,0,0,0,1,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
alpha corp gurgaonone,2.24,sector 84,6523.0,4,4,3,12.0,Relatively New,flat,3165.0,0,1,0,0,0,0,20,"28.3979° N, 76.9736° E",28.3979,76.9736
ambience lagoon,4.25,sector 24,13281.0,3,4,3+,3.0,Old Property,flat,3201.0,0,1,1,0,0,2,131,"28.4939° N, 77.1038° E",28.4939,77.1038
independent,4.6,sector 31,32258.0,2,2,2,2.0,Moderately Old,house,1426.0,0,0,0,0,0,0,0,"28.4528° N, 77.0498° E",28.4528,77.0498
orris aster court premier,1.5,sector 85,5859.0,4,5,3+,6.0,New Property,flat,2017.0,0,1,0,0,0,2,28,"28.4042° N, 76.9513° E",28.4042,76.9513
ramsons kshitij,0.3,sector 95,3158.0,2,2,1,11.0,New Property,flat,950.0,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
elan the presidential,3.9,sector 106,15918.0,3,3,0,20.0,Relatively New,flat,2450.0,0,0,0,0,0,0,66,"28.5007° N, 77.0003° E",28.5007,77.0003
hsiidc sidco shivalik apartments,0.85,manesar,5102.0,3,2,2,5.0,Moderately Old,flat,1508.0,0,0,0,0,0,0,0,"28.3515° N, 76.9428° E",28.3515,76.9428
dlf the ultima,3.46,sector 81,12047.0,4,4,3+,10.0,New Property,flat,2599.0,0,1,0,0,0,1,161,"28.3867° N, 76.9485° E",28.3867,76.9485
pareena laxmi apartments,0.31,sector 99a,5904.0,2,2,2,6.0,New Property,flat,583.0,0,0,0,0,0,0,74,"28.4561° N, 76.9542° E",28.4561,76.9542
independent,10.85,sector 25,38150.0,6,6,1,3.0,Relatively New,house,2844.0,0,0,1,0,0,2,136,"28.4844° N, 77.0860° E",28.4844,77.086
