sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
18.0,3,5,2.0,3.0,0.0,3000.0,1,0,0,2.0,0.0,4.25
15.0,2,2,0.0,3.0,0.0,699.0,0,0,0,1.0,0.0,0.36
38.0,1,1,0.0,0.0,1.0,1500.0,0,0,0,1.0,1.0,1.0
110.0,2,1,2.0,1.0,0.0,652.0,0,0,0,1.0,2.0,0.5
91.0,3,3,2.0,3.0,0.0,1362.0,0,0,0,2.0,2.0,1.35
109.0,2,2,2.0,1.0,0.0,694.0,0,0,0,1.0,2.0,0.28
98.0,4,4,3.0,3.0,0.0,3165.0,1,0,0,1.0,0.0,2.24
31.0,3,4,4.0,2.0,0.0,3201.0,1,1,2,2.0,2.0,4.25
40.0,2,2,2.0,0.0,1.0,1426.0,0,0,0,1.0,1.0,4.6
99.0,4,5,4.0,1.0,0.0,2017.0,1,0,2,1.0,2.0,1.5
109.0,2,2,1.0,1.0,0.0,950.0,0,0,0,1.0,0.0,0.3
10.0,3,3,0.0,3.0,0.0,2450.0,0,0,0,2.0,0.0,3.9
2.0,3,2,2.0,0.0,0.0,1508.0,0,0,0,1.0,2.0,0.85
94.0,4,4,4.0,1.0,0.0,2599.0,1,0,1,0.0,2.0,3.46
0.0,3,3,0.0,4.0,0.0,1758.0,0,0,0,1.0,1.0,1.08
111.0,2,2,2.0,1.0,0.0,583.0,0,0,0,2.0,2.0,0.31
32.0,6,6,1.0,3.0,1.0,2844.0,0,1,2,2.0,2.0,10.85
59.0,2,2,2.0,0.0,0.0,1098.0,0,0,0,2.0,1.0,1.05
45.0,3,3,3.0,4.0,0.0,1647.0,0,0,0,1.0,2.0,1.2
7.0,3,3,4.0,3.0,0.0,1671.0,0,0,0,0.0,2.0,1.33
80.0,3,3,2.0,3.0,0.0,1428.0,0,0,0,2.0,0.0,1.4
71.0,2,2,1.0,4.0,0.0,1041.0,0,0,0,1.0,2.0,1.55
94.0,3,4,4.0,3.0,0.0,2315.0,1,0,1,0.0,2.0,2.29
77.0,3,4,4.0,3.0,0.0,2490.0,1,0,2,2.0,0.0,3.65
57.0,5,4,2.0,1.0,1.0,4500.0,0,0,0,1.0,1.0,6.75
105.0,4,4,4.0,3.0,0.0,2139.0,1,0,0,2.0,1.0,1.55
9.0,3,2,1.0,2.0,1.0,1185.51,0,0,0,1.0,1.0,1.2
46.0,2,2,3.0,0.0,0.0,1410.0,0,0,0,2.0,0.0,0.75
30.0,3,3,2.0,0.0,1.0,2000.0,0,1,0,1.0,1.0,2.4
98.0,2,2,1.0,3.0,0.0,533.0,0,1,0,2.0,2.0,0.34
12.0,3,3,4.0,3.0,0.0,1661.0,0,0,0,0.0,2.0,1.3
90.0,3,3,2.0,0.0,0.0,1900.0,1,0,0,2.0,1.0,0.9
113.0,3,3,3.0,3.0,0.0,1344.0,0,0,0,0.0,1.0,0.78
8.0,3,2,4.0,3.0,0.0,1607.0,0,0,2,2.0,0.0,1.2
12.0,2,2,2.0,3.0,0.0,1235.0,0,0,2,0.0,2.0,0.65
71.0,2,2,2.0,4.0,0.0,1278.0,0,0,0,1.0,2.0,1.7
97.0,3,2,3.0,3.0,0.0,1588.0,0,0,0,1.0,0.0,1.15
113.0,2,2,2.0,3.0,0.0,939.0,0,0,0,0.0,2.0,0.54
72.0,4,6,3.0,3.0,0.0,3867.0,1,0,2,0.0,2.0,9.2
107.0,3,3,3.0,3.0,0.0,1692.0,0,0,2,2.0,2.0,0.8
30.0,9,9,4.0,0.0,1.0,4200.0,1,0,2,1.0,2.0,5.5
113.0,2,2,1.0,3.0,0.0,577.0,0,0,0,1.0,2.0,0.29
46.0,3,3,3.0,3.0,0.0,1990.0,0,0,0,2.0,2.0,1.1
80.0,3,3,2.0,3.0,0.0,1428.0,0,0,0,2.0,2.0,1.55
31.0,2,8,4.0,3.0,1.0,1350.0,1,1,2,2.0,2.0,4.5
105.0,4,4,4.0,3.0,0.0,2005.0,0,0,0,2.0,0.0,1.78
88.0,3,3,2.0,4.0,0.0,1628.0,0,0,0,2.0,2.0,1.92
113.0,2,2,2.0,3.0,0.0,711.0,0,0,0,1.0,2.0,0.3
82.0,3,3,2.0,3.0,0.0,2167.0,0,0,0,2.0,2.0,1.65
108.0,3,2,1.0,3.0,1.0,1152.0,0,0,0,2.0,2.0,1.3
46.0,3,3,2.0,3.0,0.0,1699.0,0,0,0,2.0,0.0,1.65
103.0,3,2,3.0,1.0,0.0,1550.0,0,0,0,1.0,2.0,1.1
105.0,3,4,3.0,3.0,0.0,1765.0,1,0,0,0.0,2.0,0.9
98.0,2,2,1.0,3.0,0.0,532.0,0,0,0,2.0,2.0,0.37
2.0,4,5,4.0,1.0,0.0,2135.0,1,0,0,1.0,2.0,1.5
83.0,4,4,4.0,1.0,1.0,2332.0,1,0,2,0.0,1.0,6.5
27.0,3,4,4.0,0.0,0.0,1738.0,1,0,2,2.0,2.0,1.51
49.0,2,1,1.0,0.0,1.0,500.0,0,0,0,1.0,2.0,0.65
16.0,5,5,3.0,3.0,0.0,3466.0,1,0,0,2.0,2.0,3.79
83.0,3,3,3.0,3.0,0.0,1946.0,0,1,2,2.0,2.0,2.3
75.0,4,4,3.0,3.0,0.0,1650.07,0,0,2,2.0,1.0,2.8
81.0,2,4,2.0,2.0,1.0,1072.0,0,0,0,1.0,2.0,1.2
68.0,4,4,2.0,1.0,0.0,2567.0,1,0,0,1.0,2.0,6.75
1.0,3,3,3.0,1.0,0.0,1589.0,0,0,2,2.0,1.0,1.53
56.0,4,4,3.0,0.0,1.0,2700.0,1,1,2,0.0,2.0,6.4
73.0,4,4,4.0,1.0,0.0,3149.99,0,0,2,2.0,2.0,4.49
57.0,3,3,3.0,0.0,0.0,1604.25,0,0,2,2.0,2.0,2.1
109.0,2,2,0.0,1.0,0.0,990.0,0,0,0,1.0,2.0,0.46
35.0,4,5,4.0,3.0,1.0,2844.0,1,1,2,2.0,2.0,12.0
30.0,5,5,4.0,2.0,1.0,1557.0,0,0,2,2.0,1.0,2.8
107.0,1,1,1.0,3.0,0.0,336.0,0,0,0,2.0,1.0,0.21
101.0,3,3,4.0,3.0,0.0,1674.0,0,0,2,1.0,2.0,1.4
113.0,3,2,2.0,4.0,0.0,1014.0,0,0,0,2.0,1.0,0.9
48.0,3,3,4.0,2.0,0.0,2400.0,0,0,0,1.0,1.0,2.0
29.0,7,5,4.0,2.0,1.0,2367.0,0,0,2,1.0,2.0,4.75
91.0,3,4,4.0,3.0,0.0,2629.0,1,0,2,0.0,1.0,2.0
6.0,3,3,3.0,3.0,0.0,1493.0,1,0,0,0.0,2.0,1.45
75.0,2,2,2.0,1.0,0.0,1186.0,0,0,2,0.0,0.0,2.0
97.0,3,2,2.0,0.0,0.0,1600.0,0,0,2,2.0,1.0,1.05
