price,sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
2.8,sector 23,5,5,3+,Old Property,house,1557.0,0,0,2,Medium,Low Floor
0.21,sector 92,1,1,1,Relatively New,flat,336.0,0,0,0,Medium,Low Floor
1.4,sector 88a,3,3,3+,Relatively New,flat,1674.0,0,0,2,Low,Mid Floor
0.9,sohna road,3,2,2,Under Construction,flat,1014.0,0,0,0,Medium,Low Floor
2.0,sector 39,3,3,3+,Old Property,flat,2400.0,0,0,0,Low,Low Floor
4.75,sector 22,7,5,3+,Old Property,house,2367.0,0,0,2,Low,Mid Floor
2.0,sector 79,3,4,3+,Relatively New,flat,2629.0,1,0,2,High,Low Floor
1.45,sector 102,3,3,3,Relatively New,flat,1493.0,1,0,0,High,Mid Floor
2.0,sector 65,2,2,2,New Property,flat,1186.0,0,0,2,High,High Floor
1.05,sector 83,3,2,2,Moderately Old,flat,1600.0,0,0,2,Medium,Low Floor
0.69,sector 78,2,2,2,Moderately Old,flat,1422.0,0,0,0,Medium,High Floor
1.29,sector 90,3,3,3,Relatively New,flat,1540.0,0,0,0,High,Mid Floor
0.79,sector 71,2,2,2,Relatively New,flat,1084.0,0,0,0,Low,Mid Floor
12.0,sector 50,5,6,3+,Moderately Old,house,3240.0,0,0,0,Medium,Mid Floor
1.1,sector 95,4,3,3,Relatively New,flat,2824.0,1,0,0,Low,Mid Floor
2.0,sector 56,4,4,2,Under Construction,flat,2081.0,0,0,0,Low,Mid Floor
4.0,sector 26,4,3,2,Relatively New,house,8829.0,0,0,2,Low,Low Floor
1.1,sector 84,3,3,3+,Moderately Old,flat,1710.0,0,0,2,Medium,High Floor
1.35,sector 102,3,3,3,Relatively New,flat,1315.0,1,0,0,Medium,Mid Floor
1.1,sector 104,2,2,3,Under Construction,flat,1148.0,0,0,0,Medium,High Floor
1.25,sector 37c,3,3,3,Relatively New,flat,1563.0,0,0,0,Low,Low Floor
0.5,sector 92,2,2,3,Relatively New,flat,1000.0,0,0,0,Low,Low Floor
2.45,sector 47,3,4,2,Old Property,flat,2544.0,0,0,2,Low,Low Floor
1.55,sector 108,3,3,3+,Relatively New,flat,1750.0,1,0,2,High,Mid Floor
2.25,sector 109,3,4,3,Relatively New,flat,2339.0,1,0,0,Medium,High Floor
2.25,sector 28,3,3,2,Old Property,flat,1700.0,1,0,0,Medium,High Floor
1.7,sector 68,4,4,3+,New Property,flat,1809.0,0,0,0,Medium,High Floor
0.65,sohna road,2,2,2,Relatively New,flat,1043.0,0,0,0,Medium,Low Floor
1.2,sector 11,7,3,0,Moderately Old,house,300.0,0,0,0,Low,Mid Floor
5.65,sector 46,8,6,3+,Moderately Old,house,2367.0,1,0,2,Medium,Mid Floor
1.25,sector 86,3,4,3+,Relatively New,flat,1747.0,1,0,0,Medium,Low Floor
2.8,sector 112,2,3,2,Relatively New,flat,2441.15,1,0,0,Medium,Mid Floor
1.15,sector 33,2,2,2,Under Construction,flat,103.0,0,0,0,Low,High Floor
2.8,sector 55,4,4,0,Old Property,house,1500.0,0,0,0,Low,Low Floor
0.8,sector 103,2,2,3,New Property,flat,1089.0,0,0,0,High,Mid Floor
2.35,sector 49,3,3,3,Relatively New,flat,2030.0,0,0,0,Low,High Floor
1.5,sector 3,3,3,0,Old Property,house,210.0,0,0,0,Low,Low Floor
1.28,sector 89,3,3,2,Under Construction,flat,1611.0,0,0,0,Medium,Mid Floor
1.5,sector 86,3,3,1,Relatively New,flat,1550.0,0,0,0,High,High Floor
1.4,sector 102,2,2,3,Relatively New,flat,1286.0,0,0,0,Medium,Low Floor
7.0,sector 50,4,4,2,Old Property,house,2160.0,1,0,0,Low,Low Floor
0.74,sohna road,2,2,3+,New Property,flat,1344.0,0,0,0,Medium,High Floor
1.78,sector 69,4,4,2,Relatively New,flat,1819.0,0,0,2,High,Mid Floor
0.75,sector 92,3,2,2,Relatively New,flat,1556.0,0,0,0,Low,High Floor
0.6,sector 56,1,1,1,Moderately Old,flat,543.0,0,0,0,Low,Low Floor
1.49,sector 102,3,3,3,Relatively New,flat,1315.0,0,0,2,High,Mid Floor
0.56,sector 2,1,1,2,Moderately Old,flat,722.0,0,0,0,Medium,Mid Floor
11.5,sector 33,5,6,3+,Relatively New,house,4680.0,1,0,0,Medium,Mid Floor
6.2,sector 43,4,4,3+,Moderately Old,flat,2712.0,1,0,0,Low,Mid Floor
2.2,sector 33,3,3,3,New Property,flat,1900.0,1,0,2,Low,High Floor
0.37,sector 3,1,1,1,Relatively New,house,480.0,0,0,0,Low,Low Floor
2.25,sector 13,10,10,2,Old Property,house,400.0,0,0,0,Low,Low Floor
3.5,sector 9,9,9,3+,Relatively New,house,2610.0,0,0,0,Low,Mid Floor
1.25,sector 85,3,4,2,Relatively New,flat,1900.0,1,0,2,High,Mid Floor
4.0,sector 72,4,5,2,Moderately Old,flat,2629.0,1,0,0,Low,Mid Floor
0.54,sector 7,2,2,1,Relatively New,flat,1000.0,0,0,0,Medium,Mid Floor
2.7,sector 74,3,3,3,New Property,flat,2018.09,0,1,0,Medium,High Floor
1.6,sector 8,4,6,1,Relatively New,house,558.0,0,0,0,Low,Mid Floor
7.0,sector 82,4,4,3+,Relatively New,house,3240.0,1,0,2,Low,Low Floor
1.68,sector 69,4,4,2,Relatively New,flat,1819.0,0,0,0,Medium,Low Floor
2.25,sector 110,4,4,3+,Relatively New,flat,2350.0,1,0,0,High,Low Floor
1.27,sector 37c,3,3,3,Relatively New,flat,1595.0,0,0,0,Low,Low Floor
2.7,sector 82a,4,4,3+,Moderately Old,flat,2576.09,1,0,0,Low,High Floor
6.0,sector 28,3,3,2,Moderately Old,flat,2983.0,1,0,0,Low,Mid Floor
0.2,sohna road,1,1,1,New Property,flat,474.042156,0,0,0,Medium,Mid Floor
1.01,sohna road,2,2,3,Under Construction,flat,1184.0,0,0,0,Medium,High Floor
0.75,sector 81,2,2,2,Moderately Old,flat,1397.0,0,0,0,Low,Mid Floor
1.5,sector 84,3,3,3,New Property,flat,1849.0,1,0,0,Medium,Low Floor
1.95,sector 79,3,4,3+,New Property,flat,1659.0,1,0,0,Low,Mid Floor
0.35,sohna road,2,2,2,Relatively New,flat,694.0,0,0,0,Medium,High Floor
3.4,sector 56,6,6,3+,Moderately Old,house,1530.0,0,0,2,Low,Low Floor
0.8,sector 86,2,2,0,Relatively New,flat,1360.0,0,0,0,Low,Low Floor
0.36,sector 107,2,2,1,Relatively New,flat,496.0,0,0,0,Low,Mid Floor
4.25,sector 46,5,4,2,Moderately Old,house,1836.0,0,1,2,Medium,Mid Floor
0.96,sector 5,2,4,2,Moderately Old,house,945.0,0,1,2,Low,Mid Floor
10.0,sector 25,5,5,3+,Moderately Old,house,9500.0,1,0,1,Low,Mid Floor
0.26,sohna road,2,2,1,Relatively New,flat,535.0,0,0,0,Medium,Mid Floor
3.21,sector 72,3,4,3+,Relatively New,flat,2140.0,1,0,2,High,High Floor
1.2,sector 102,2,2,3,Relatively New,flat,1073.0,0,0,0,Low,Low Floor
1.38,sector 99a,4,5,3+,Relatively New,flat,2150.0,1,0,0,Low,Low Floor
1.31,sector 88a,2,2,3+,Relatively New,flat,1463.0,0,0,0,Medium,Mid Floor
2.1,sector 77,3,4,3+,New Property,flat,1600.0,1,0,2,Medium,High Floor
12.5,sector 65,4,4,3+,Relatively New,house,3600.0,1,0,0,Medium,Low Floor
2.9,sector 2,4,4,3,Relatively New,house,1557.0,0,1,2,Low,Low Floor
5.5,sector 57,5,6,3+,Moderately Old,flat,5010.0,1,0,2,High,High Floor
5.9,sector 65,3,3,3,Relatively New,flat,3043.0,1,0,0,Medium,High Floor
0.43,sector 105,3,3,3,Relatively New,house,1050.0,0,0,0,Low,Low Floor
1.15,sector 110,2,2,3,Relatively New,flat,1250.0,0,0,2,Medium,Mid Floor
1.4,sector 83,3,3,3,Relatively New,flat,1387.0,1,1,2,High,Low Floor
8.44,sector 43,4,5,3,Moderately Old,flat,5000.0,1,0,1,Medium,Mid Floor
1.3,sector 86,3,3,3,Relatively New,flat,1715.0,1,0,2,Low,High Floor
4.31,sector 25,5,4,3,Old Property,house,1350.0,0,0,0,Low,Mid Floor
0.65,sector 81,2,2,2,Moderately Old,flat,985.0,0,0,0,Medium,High Floor
1.65,manesar,4,3,3,New Property,flat,3111.0,1,0,0,Low,Mid Floor
0.6,sector 4,3,3,1,Old Property,house,57.0,0,0,0,Low,Low Floor
